Grade,Surface,Defect Type,Defect,Min Width,Max Width,Min Length,Max Length,Min Contrast,Min Area Pixel,uid
CPO,A,major,dent,0.8,,1,,16,800,4fa7a9d5-b5cd-44e7-adee-6ff43a0692d7
CPO,A,major,nick,0.8,,1,,16,800,4207d1e0-73e9-42a6-8c8c-8febd15376fe
CPO,A,major,scratch,0.3,,1,,14,600,06ba12e9-2397-4ed5-9b52-6f6a015ba054
CPO,A,minor,dent,,,,,7,200,953fb2ed-464a-4851-afea-7b89c7f04072
CPO,A,minor,nick,,,,,7,200,ac0395df-57f2-47f5-be77-0aec3ea19c65
CPO,A,minor,pindot,,,,,,,9202e161-c6be-4a63-8847-b28ea364e6f5
CPO,A,minor,scratch,,,,,7,200,ec8fd79b-9a0a-4f24-bc54-b302bf115d59
CPO,A,minor,grouppindot,,,,,,,e95ef817-da92-41a6-89d5-206e83620c97
CPO,A,minor,discoloration,,,,,,,264839b9-2abd-4b53-bc69-4ac3f3df990c
CPO,A,minor,differentscreen,,,,,,,9ca3f9da-a8ca-4dc5-9bc9-c6d8be6cba6e
CPO,A,damaged,crack,,,,,,,eeef9ca3-7637-4e89-8cc7-c0d1317c2c87
CPO,A,damaged,missingpart,,,,,,,3948ce01-448e-4f90-925a-4978660709ec
CPO,A,deep scratch,dent,0.0375,,2,,18,600,8a6ca67f-f3d5-4bf0-acaa-fca20e0588c5
CPO,A,deep scratch,nick,0.0375,,2,,18,600,040908bb-0ba8-4ec5-9152-b591ea3e6fa9
CPO,A,deep scratch,scratch,0.0375,,2,,18,600,56dab766-7bf2-4bb7-a33e-0e87e20833e9
CPO,B,major,dent,0.8,,1.6,,16,800,757c4e08-8303-4dd7-94cf-3a073df7a44d
CPO,B,major,nick,0.8,,1.6,,16,800,749b69c8-2c43-475c-806a-4d37b4e0e220
CPO,B,major,scratch,0.8,,1.6,,16,800,11ed63b5-514c-41f1-b623-201d4b77de7f
CPO,B,minor,dent,,,1.6,,7,200,266d3f17-80c8-4db4-b96d-1669df80d7a5
CPO,B,minor,nick,,,1.6,,7,200,63ed96ab-2add-4945-ab84-ae9668e52916
CPO,B,minor,pindot,,,,,,,0503a0aa-3222-403f-8a6f-04efc06cd7aa
CPO,B,minor,scratch,,,1.6,,7,200,2e70a8c6-1515-459b-bc42-c3c3fbd9d018
CPO,B,minor,grouppindot,,,,,,,de2291d4-1105-4227-a448-8568936c4b7a
CPO,B,minor,differentscreen,,,,,,,c60f33d9-5fe4-4d1f-a6be-6d8269e1f98a
CPO,B,damaged,crack,,,,,,,429c2b18-bb13-4a1a-9d46-b18e5c7b6bfa
CPO,B,damaged,missingpart,,,,,,,5b5df43a-7e24-4e3d-9d17-cc957de4e4be
CPO,B,deep scratch,dent,0.0375,,2,,22,600,9ce93573-f40c-4f78-8686-024ced5153b0
